,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
0,87,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,748.68,172.07,0,898.72,0,73.83,0,71.68,0,0,0,1045.38,0,0,0,0,0,0,0,49.74,0,66.59,0,0,0,0,0,0.7191433255,63.32428481,0.2264103014,19.93659665
1,55,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,956.42,135.83,0,898.72,0,73.83,0,71.68,0,0,0,538.96,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.5552628873,48.89376565,0.2892335049,25.46850425
2,53,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,972.1,135.83,0,898.72,0,73.83,0,71.68,0,0,0,538.96,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.5552628873,48.89376565,0.2939753352,25.88604691
3,104,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,972.1,135.83,0,898.72,0,73.83,0,71.68,0,0,0,538.96,0,0,0,0,0,0,0,50.48,0,65.11,0,0,0,0,0,0.5548092683,48.85382215,0.2939753352,25.88604691
4,5,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,935.49,145.36,0,898.72,0,73.83,0,71.68,0,0,0,552.15,0,0,0,0,0,0,0,50.35,0,66.61,0,0,0,0,0,0.5620913649,49.49504838,0.2829040082,24.91115937
5,7,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,972.1,135.83,0,898.72,0,73.83,0,71.68,0,0,0,538.96,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.5552628873,48.89376565,0.2939753352,25.88604691
6,28,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1133.32,148.74,0,898.72,0,73.83,0,71.68,0,0,0,694.21,0,0,0,0,0,0,0,50.45,0,66.62,0,0,0,0,0,0.6061075258,53.37089873,0.3427303024,30.17917363
7,61,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,910.23,145.13,0,898.72,0,73.83,0,71.68,0,0,0,652.24,0,0,0,0,0,0,0,50.31,0,66.61,0,0,0,0,0,0.5922842437,52.15368733,0.2752650647,24.23851093
8,93,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1015.81,130.61,0,820.62,0,73.83,0,71.68,0,0,0,528.42,0,0,0,0,0,0,0,50.6,0,66.62,0,0,0,0,0,0.5269237981,46.39836244,0.3071937921,27.05000032
9,100,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,762.64,170.65,0,898.72,0,73.83,0,484.36,0,0,0,576.37,0,0,0,0,0,0,0,49.66,0,66.59,0,0,0,0,0,0.7016517779,61.78406369,0.230631982,20.30833743
