,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
0,3375,5B,RetailStripmall,2009 RetailStripmall,3774.05,40623.496795,3774.05,40623.496795,0.0,110.78,245.92,0.0,1376.84,0.0,39.06,0.0,343.46,0.0,0.0,0.0,349.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.38,0.0,0.0,0.0,0.0,0.0,0.6441939031014426,56.72460099554066,0.0293530822326148,2.584690525039279
1,2201,5B,RetailStripmall,2009 RetailStripmall,2977.22,32046.498358,2977.22,32046.498358,0.0,4.21,131.65,0.0,898.8,0.0,90.3,0.0,190.26,0.0,0.0,0.0,116.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.57,0.0,0.0,0.0,0.0,0.0,0.5034226560348245,44.32896548416087,0.0014140708446134,0.1245162427864406
2,1321,5B,RetailStripmall,2009 RetailStripmall,809.8,8716.60622,809.8,8716.60622,0.0,356.88,125.34,0.0,257.59,0.0,93.71,0.0,92.8,0.0,0.0,0.0,322.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,59.18,0.0,0.0,0.0,0.0,0.0,1.240602617930353,109.2414693112063,0.4407014077550013,38.806035562772045
3,2950,5B,RetailStripmall,2009 RetailStripmall,3224.78,34711.209442,3224.78,34711.209442,0.0,585.4,92.2,0.0,576.57,0.0,152.68,0.0,158.5,0.0,0.0,0.0,170.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,78.86,0.0,0.0,0.0,0.0,0.0,0.3841068227910121,33.82258999594095,0.1815317634071161,15.98480953903721
4,1129,5B,RetailStripmall,2009 RetailStripmall,697.68,7509.757751999999,697.68,7509.757751999999,0.0,73.69,140.53,0.0,201.38,0.0,195.53,0.0,12.57,0.0,0.0,0.0,695.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,73.38,0.0,0.0,0.0,0.0,0.0,1.8992088063295491,167.23514647932947,0.1056214883614264,9.300517678003525
5,1969,5B,RetailStripmall,2009 RetailStripmall,2245.4,24169.26106,2245.4,24169.26106,0.0,143.38,83.02,0.0,602.99,0.0,136.23,0.0,236.52,0.0,0.0,0.0,165.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.72,0.0,0.0,0.0,0.0,0.0,0.5757637837356373,50.69897548369648,0.0638549924289658,5.622761950505407
6,279,5B,RetailStripmall,2009 RetailStripmall,2523.9,27167.00721,2523.9,27167.00721,0.0,599.81,230.03,0.0,514.02,0.0,72.04,0.0,161.4,0.0,0.0,0.0,1020.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.48,0.0,0.0,0.0,0.0,0.0,0.8181504813978366,72.04237635309259,0.2376520464360711,20.926490370302368
7,3628,5B,RetailStripmall,2009 RetailStripmall,7672.69,82588.067891,7672.69,82588.067891,0.0,1166.61,178.07,0.0,1146.05,0.0,26.43,0.0,233.24,0.0,0.0,0.0,358.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,67.05,0.0,0.0,0.0,0.0,0.0,0.2689056901816703,23.67853515462985,0.1520470656314799,13.388529585524989
8,2407,5B,RetailStripmall,2009 RetailStripmall,5195.48,55923.62717199999,5195.48,55923.62717199999,0.0,172.51,408.27,0.0,1943.85,0.0,185.43,0.0,482.44,0.0,0.0,0.0,1129.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.39,0.0,0.0,0.0,0.0,0.0,0.8118980344453256,71.49181609954248,0.0332038618183498,2.9237715602228604
9,2576,5B,RetailStripmall,2009 RetailStripmall,3646.44,39249.915516,3646.44,39249.915516,0.0,338.53,121.61,0.0,644.49,0.0,102.65,0.0,287.81,0.0,0.0,0.0,713.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43,0.0,68.38,0.0,0.0,0.0,0.0,0.0,0.5453044613376334,48.01687479739237,0.0928384945316527,8.17490903589847
