,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
0,2706,6A,RetailStripmall,2009 RetailStripmall,2009.43,21629.303577,2009.43,21629.303577,0.0,777.27,174.41,0.0,575.09,0.0,62.76,0.0,137.66,0.0,0.0,0.0,362.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0.0,77.58,0.0,0.0,0.0,0.0,0.0,0.6958839073767187,61.27617289626247,0.386811185261492,34.060723081874755
1,3068,6A,RetailStripmall,2009 RetailStripmall,1392.68,14990.668252,1392.68,14990.668252,0.0,327.86,210.78,0.0,447.33,0.0,122.93,0.0,49.62,0.0,0.0,0.0,376.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.81,0.0,0.0,0.0,0.0,0.0,0.9235861791653502,81.32653420953045,0.2354166068299968,20.72964836497804
2,3008,6A,RetailStripmall,2009 RetailStripmall,4502.43,48463.706277000005,4502.43,48463.706277000005,0.0,1853.32,128.64,0.0,760.15,0.0,185.17,0.0,843.91,0.0,0.0,0.0,194.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16,0.0,88.78,0.0,0.0,0.0,0.0,0.0,0.5005119457715056,44.07266240909996,0.4116266105192084,36.24584946928944
3,1664,6A,RetailStripmall,2009 RetailStripmall,4721.7,50823.90663,4721.7,50823.90663,0.0,1202.05,152.95,0.0,996.92,0.0,179.05,0.0,990.87,0.0,0.0,0.0,447.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,0.0,75.56,0.0,0.0,0.0,0.0,0.0,0.6035749835864201,53.147895299838346,0.2545799182497829,22.4170769308294
4,2908,6A,RetailStripmall,2009 RetailStripmall,6317.04,67995.986856,6317.04,67995.986856,0.0,2683.11,218.8,0.0,1320.76,0.0,75.57,0.0,570.11,0.0,0.0,0.0,488.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,0.0,83.05,0.0,0.0,0.0,0.0,0.0,0.4381514126869547,38.58149532406575,0.4247416511530717,37.40069654780804
5,3622,6A,RetailStripmall,2009 RetailStripmall,6007.72,64666.497308,6007.72,64666.497308,0.0,1181.74,319.26,0.0,1573.31,0.0,116.68,0.0,707.4,0.0,0.0,0.0,1531.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.62,0.0,0.0,0.0,0.0,0.0,0.7194642892811249,63.35254733633423,0.1967035747338424,17.32076590208998
6,1311,6A,RetailStripmall,2009 RetailStripmall,1256.72,13527.208408,1256.72,13527.208408,0.0,1001.8,101.59,0.0,521.85,0.0,28.46,0.0,28.51,0.0,0.0,0.0,394.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,0.0,65.64,0.0,0.0,0.0,0.0,0.0,0.9154147304093196,80.60699593385019,0.7971544974218601,70.19357150130483
7,2156,6A,RetailStripmall,2009 RetailStripmall,5512.23,59333.09249699999,5512.23,59333.09249699999,0.0,633.1,284.19,0.0,2062.87,0.0,101.87,0.0,900.51,0.0,0.0,0.0,743.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,92.46,0.0,0.0,0.0,0.0,0.0,0.7613706249557802,67.04261667552773,0.1148536980496097,10.11346143352195
8,2946,6A,RetailStripmall,2009 RetailStripmall,5126.54,55181.563906,5126.54,55181.563906,0.0,1177.28,180.87,0.0,1797.63,0.0,43.33,0.0,252.21,0.0,0.0,0.0,188.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.19,0.0,0.0,0.0,0.0,0.0,0.4967404916376347,43.74056638973867,0.229644165460525,20.221355082665063
9,3014,6A,RetailStripmall,2009 RetailStripmall,3007.33,32370.599387,3007.33,32370.599387,0.0,2052.42,137.29,0.0,927.29,0.0,176.24,0.0,88.33,0.0,0.0,0.0,686.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.99,0.0,0.0,0.0,0.0,0.0,0.6963352874476696,61.3159192432843,0.6824724922106986,60.095228509152605
