id,elv3_window_u_value,elv3_window_shgc,elv3_window_transmittance,ext_wall_rsi,ground_floor_elevation_3_wwr,slab_on_grade_ffactor,roof_rsi,air_infiltration_rate_ventilation_on,air_infiltration_rate_ventilation_off,single_patron_door_infiltration,backdoor_rsi,roof_solar_absorptance,roof_thermal_absorptance,building_orientation,building_depth,ground_floor_height,large_store_width,small_store_width,ahu_motor_efficiency,ahu_burner_efficiency,cooling_cop,ahu_fan_speeds,ahu_fan_efficiency,ahu_fan_pressure_rise,economizer_type,exhaust_air_heat_recovery,temp_setpoint_heating_occupied,temp_setpoint_cooling_occupied,temp_setpoint_heating_setback,temp_setpoint_cooling_setback,supply_air_temp_heating,supply_air_temp_cooling,outdoor_air_flow_per_area,exterior_lighting_w,exterior_lighting_sch,ground_allowance_lpd,ground_lpd,lighting_occ_sensor,equipment_power_density,hot_water_skin_loss,water_heater_efficiency,hot_water_peak_flow,large_max_occupant_density,small_max_occupant_density
0,1.614,0.24,0.619,3.9857,0.33,1.3911,6.2132,0.31,0.000357,0.134366,0.107,0.74,0.88,89.4382,85.372,7.177,12.12,4.085,0.631,0.6197,3.82947,0,0.6578,1240.1,3,1,21.58,22.04,1.2,1.21,38.6,13.2,0.0014836,2476.321945477898,1,1.317,19.131,1,6.509,2.4193,0.75,1.87e-06,110,20
1,6.231,0.796,0.237,3.8111,0.48,0.8741,10.007,0.29,0.000498,0.138415,0.8289,0.58,0.45,-11.1881,60.886,2.882,15.597,3.664,0.842,0.8592,4.88787,2,0.5612,500.3,2,0,24.22,24.9,0.84,3.19,46.4,15.8,0.0011628,5442.802457434695,0,1.002,15.357,0,6.7,1.2725,0.85,1.67e-06,98,20
2,2.139,0.692,0.314,0.5509,0.74,1.4843,6.4252,0.49,0.000284,0.065921,0.6434,0.89,0.45,47.5691,82.195,2.707,17.776,5.919,0.832,0.6183,3.32714,2,0.5335,328.5,3,0,24.95,26.89,3.54,1.91,34.1,10.3,0.0018831,9303.854758742928,1,1.67,13.714,1,4.243,0.7616,0.93,1.04e-06,75,14
3,4.008,0.377,0.637,0.7758,0.26,0.8994,4.8645,0.48,0.000636,0.124638,0.9258,0.48,0.47,39.0554,95.591,8.164,15.011,3.12,0.603,0.7747,3.72771,2,0.5712,860.3,3,2,23.25,23.41,1.24,1.31,32.8,15.5,0.0015937,3506.758226192256,0,1.971,11.151,1,5.281,1.0243,0.93,1.3e-06,49,11
4,2.701,0.732,0.24,2.4265,0.4,0.761,10.9435,0.2,0.000515,0.139136,0.3964,0.86,0.85,-28.8114,81.595,5.411,19.47,4.503,0.687,0.9244,4.38011,0,0.7653,910.9,0,2,23.59,26.49,1.04,3.77,37.6,14.2,0.0004866,4209.75107254521,0,6.222,14.676,0,11.103,2.9798,0.81,1.12e-06,43,23
5,5.229,0.613,0.652,5.1995,0.3,1.2227,3.394,0.6,0.00069,0.07579,0.6975,0.47,0.78,-27.5656,50.239,8.633,8.816,5.703,0.689,0.9298,4.15086,1,0.7726,606.3,2,2,23.84,24.86,0.51,2.01,36.0,16.4,0.0007304,6139.516347755166,1,0.289,14.095,0,2.194,0.7085,0.8,1.73e-06,71,27
6,1.36,0.68,0.512,4.7486,0.82,1.8902,6.2843,0.56,0.00061,0.124562,0.9692,0.81,0.73,78.0513,11.733,3.216,8.557,7.897,0.906,0.7459,3.10486,0,0.7723,486.4,4,2,21.21,25.78,0.06,4.86,43.9,10.0,0.0015265,8455.183140665438,0,11.621,8.434,0,13.497,2.0501,0.73,1.96e-06,71,31
7,5.077,0.659,0.84,2.5276,0.42,1.4851,7.7335,0.3,0.000286,0.127525,0.727,0.45,0.32,9.1377,36.974,9.867,15.922,6.06,0.72,0.837,3.94768,0,0.786,1207.9,1,1,21.48,23.93,4.69,4.19,43.2,12.2,0.000328,6037.711262342912,0,9.036,9.373,1,4.412,1.7386,0.75,1.56e-06,80,13
8,6.251,0.398,0.54,6.7642,0.68,2.9276,11.6395,0.56,0.00019,0.07035,0.6307,0.72,0.53,-82.7613,68.618,6.835,15.081,5.432,0.914,0.6954,4.71515,2,0.5517,744.6,3,2,21.91,26.47,3.42,2.26,34.7,15.4,0.0017694,12624.384624126376,1,1.9,12.237,1,11.142,1.35,0.77,1.12e-06,51,20
9,4.442,0.331,0.315,3.5488,0.61,1.7434,9.0381,0.39,0.000464,0.092266,0.1112,0.88,0.59,84.504,69.438,5.928,9.551,6.771,0.972,0.7902,3.60692,0,0.704,1108.8,4,0,19.05,25.79,3.85,4.24,45.1,14.6,0.0007484,5093.388771573764,0,11.503,19.502,0,3.415,2.2286,0.81,1.68e-06,35,27
10,4.39,0.467,0.851,6.4421,0.52,1.5094,3.5186,0.38,0.00061,0.14904,0.305,0.26,0.23,-28.9976,81.685,6.556,7.749,3.951,0.695,0.6555,3.18775,1,0.7754,1305.7,4,0,24.96,25.12,4.79,0.8,37.1,11.0,0.0009234,4226.627549043016,1,1.203,10.731,1,9.747,1.916,0.72,1.37e-06,99,22
11,2.052,0.553,0.81,6.6163,0.4,1.4451,9.8101,0.44,0.000174,0.088274,0.3176,0.6,0.2,-85.6316,11.16,6.587,13.386,4.188,0.879,0.8469,5.14951,1,0.6736,1288.6,2,1,23.47,25.81,1.31,5.74,34.9,13.7,0.0017803,4814.621791488144,1,0.108,18.072,0,4.874,0.6113,1.0,1.99e-06,56,32
12,6.302,0.665,0.224,0.7155,0.51,1.2399,4.3787,0.37,0.00015,0.101703,0.279,0.88,0.45,-34.2344,73.636,6.385,14.489,6.64,0.665,0.7873,3.95547,2,0.5642,861.4,1,0,24.57,24.91,0.67,3.58,46.2,15.3,0.0013415,8750.691435442095,0,7.983,11.638,1,10.54,1.192,0.69,1.57e-06,101,36
13,5.78,0.52,0.493,4.7749,0.68,1.5733,8.2216,0.51,0.000508,0.089933,0.549,0.22,0.84,-30.7578,33.562,4.585,7.218,5.48,0.954,0.9441,3.53338,2,0.5927,1386.4,1,0,23.68,25.03,0.36,0.56,39.5,13.4,0.0012309,2590.4100240206585,1,5.241,16.325,1,5.358,2.5118,0.71,1.36e-06,72,31
14,3.316,0.349,0.723,4.343,0.64,1.5424,10.7873,0.56,0.000277,0.055617,0.3044,0.38,0.49,9.8941,51.804,9.292,12.738,4.071,0.76,0.8305,4.01921,0,0.7215,1154.2,2,2,18.23,21.72,5.66,3.58,30.9,11.4,0.0015212,8300.429847572517,1,8.401,17.145,1,9.411,1.0387,0.97,1.46e-06,119,32
15,2.152,0.497,0.413,2.8189,0.63,1.3176,11.2286,0.49,0.000545,0.061305,0.5211,0.4,0.63,23.2357,73.912,4.421,12.991,7.91,0.786,0.9377,3.30328,0,0.6001,824.4,1,1,24.41,26.76,4.95,2.09,31.9,11.5,0.0014635,12282.76719687035,1,7.429,15.628,1,7.143,2.7318,0.77,1.04e-06,123,34
16,1.632,0.591,0.817,6.3886,0.5,1.7447,9.4249,0.34,0.000622,0.052146,0.9564,0.43,0.53,57.8679,51.86,7.752,10.443,7.736,0.733,0.6888,4.26873,0,0.6762,587.6,1,2,23.48,24.0,1.38,3.4,34.2,11.2,0.0012208,9972.50840506401,1,0.796,6.465,0,14.185,0.7798,1.0,1.58e-06,52,32
17,1.839,0.717,0.109,6.5821,0.45,2.3658,6.0965,0.37,0.000568,0.070216,0.1531,0.65,0.7,68.1411,27.203,5.233,19.637,7.113,0.654,0.7439,3.1992,0,0.7629,876.1,0,2,24.01,24.97,4.45,4.86,37.8,16.5,0.0007478,2704.9280119050222,0,4.866,5.93,1,5.829,0.7412,0.78,1.47e-06,107,33
18,3.902,0.371,0.308,4.048,0.69,1.386,3.8007,0.6,0.000278,0.139676,0.2633,0.39,0.87,78.4233,49.209,9.426,10.55,7.533,0.699,0.6519,5.04517,1,0.5172,1221.7,4,1,22.79,25.43,0.35,2.46,47.1,12.6,0.0018397,2493.9891407302293,0,6.592,7.397,0,6.341,2.5678,0.71,1.23e-06,101,19
19,4.063,0.352,0.636,2.1471,0.47,2.4876,11.9733,0.22,0.000476,0.133273,0.6684,0.42,0.47,-27.8508,28.198,7.974,9.476,3.238,0.917,0.699,4.37937,1,0.6097,1283.8,2,0,23.84,24.7,4.89,2.16,39.7,13.1,0.001677,3048.503091259751,1,2.894,10.081,1,8.303,2.9961,0.91,1.08e-06,72,3
20,6.288,0.289,0.66,0.3227,0.37,1.8453,4.6213,0.6,0.00069,0.057545,0.2936,0.87,0.22,-27.6039,35.79,9.08,17.66,4.984,0.717,0.9004,3.52624,2,0.6384,501.6,0,2,20.43,22.63,3.56,0.99,39.5,11.9,0.0011933,4843.387444926948,0,8.195,6.574,1,2.399,0.7988,0.72,1.43e-06,105,6
21,6.525,0.7,0.721,1.5303,0.45,2.2573,9.4362,0.36,0.00012,0.107387,0.701,0.51,0.33,27.6531,70.052,6.562,18.571,5.318,0.686,0.7358,4.59851,0,0.5445,951.3,0,1,24.88,25.18,0.84,3.83,48.2,11.6,0.000533,7522.817048642545,1,6.888,11.45,1,12.864,1.3087,0.82,1.51e-06,41,22
22,5.343,0.286,0.306,6.3124,0.33,1.7733,6.7725,0.45,0.000351,0.073265,0.4283,0.42,0.8,-11.538,41.597,9.98,17.825,3.214,0.938,0.7745,3.71147,2,0.5145,962.6,4,2,24.21,25.84,0.0,0.42,44.7,17.9,0.0012896,3897.2428380842784,1,3.278,6.732,0,6.475,2.5322,0.91,1.35e-06,111,32
23,4.803,0.469,0.536,6.1042,0.42,0.7924,9.0565,0.3,0.000346,0.077794,0.2535,0.24,0.52,74.7774,16.645,2.511,12.159,3.654,0.862,0.7388,3.74905,0,0.7118,654.5,2,0,23.42,24.61,5.73,4.54,46.4,12.5,0.0016641,10169.683006222009,1,1.708,12.383,1,10.391,1.9282,0.78,1.38e-06,119,32
24,4.912,0.702,0.66,3.1519,0.27,0.8456,5.3687,0.34,0.000573,0.055014,0.261,0.79,0.87,23.745,99.726,6.884,16.125,7.744,0.737,0.8109,4.2359,0,0.7193,1173.5,3,1,23.05,26.92,1.34,2.92,38.8,17.2,0.001139,11513.023283940338,0,11.83,19.537,1,4.966,1.9858,0.89,1.54e-06,107,9
25,4.219,0.602,0.467,4.3208,0.45,0.639,8.1908,0.27,0.000227,0.052545,0.3241,0.55,0.27,51.5866,15.755,7.437,16.656,5.022,0.767,0.8795,5.01658,1,0.5743,1381.1,1,0,21.83,25.96,1.02,2.97,32.0,16.8,0.0009242,10874.670615685467,1,4.815,7.788,1,1.478,1.0773,0.89,1.31e-06,28,37
26,3.371,0.365,0.464,2.0912,0.4,0.8206,6.6227,0.31,0.000482,0.060403,0.7851,0.66,0.22,-74.487,12.695,4.819,13.422,3.014,0.713,0.9593,5.21567,1,0.6968,338.4,1,2,21.93,24.47,4.46,4.2,45.7,13.6,0.000294,5659.102278624755,0,7.935,12.18,1,2.267,1.7549,0.85,1.92e-06,120,17
27,1.336,0.201,0.499,6.6637,0.49,1.6125,10.8289,0.51,0.000548,0.093014,0.945,0.66,0.25,-42.6772,32.739,5.125,12.431,7.982,0.752,0.7481,4.84916,2,0.6769,418.1,2,1,20.53,26.52,4.14,5.23,45.9,16.2,0.0017262,8281.19910493157,1,5.839,13.193,1,5.709,2.721,0.65,1.62e-06,109,27
28,5.126,0.764,0.281,4.1216,0.45,1.0225,5.2348,0.58,0.00019,0.075371,0.3991,0.53,0.23,88.7145,69.484,5.044,19.068,5.075,0.799,0.772,3.69445,2,0.7613,1355.8,3,0,23.58,26.38,5.6,4.06,46.5,10.8,0.0014719,8550.522895790165,0,0.552,7.251,1,7.446,1.3206,0.7,1.19e-06,46,36
29,4.485,0.612,0.286,1.8085,0.64,2.2913,9.2028,0.25,0.000352,0.057461,0.406,0.37,0.59,-34.6012,65.163,2.903,10.355,6.762,0.798,0.9338,4.36077,2,0.5698,306.3,4,2,23.4,24.7,2.44,4.06,47.2,10.4,0.0018972,3610.8382014224007,1,2.142,11.062,0,10.265,0.9266,0.84,1.57e-06,125,16
30,2.852,0.689,0.328,3.2994,0.53,2.7531,4.3204,0.2,0.000186,0.097376,0.1996,0.53,0.58,32.0032,43.71,9.298,19.01,3.068,0.87,0.6687,4.35108,2,0.6701,946.4,3,1,23.23,23.48,2.82,0.57,48.4,16.5,0.0010146,4948.822502031297,1,9.687,11.434,1,6.606,2.4228,0.89,1.77e-06,48,17
31,6.9,0.329,0.607,6.9667,0.82,1.4238,2.6136,0.43,0.000633,0.138493,0.9018,0.31,0.58,42.2426,28.584,4.364,15.332,6.001,0.615,0.9317,3.51561,0,0.6386,821.5,4,1,22.49,24.75,1.01,0.64,30.0,11.2,0.0008996,12219.701140027377,1,9.379,7.06,0,7.968,1.7594,0.82,1.19e-06,104,25
32,4.099,0.277,0.164,4.4965,0.78,2.9556,6.1304,0.58,0.000318,0.084014,0.8313,0.39,0.47,-73.7575,22.698,2.524,9.574,4.256,0.987,0.9296,3.08081,2,0.6759,1017.6,3,1,24.82,25.04,2.73,3.7,48.0,15.7,0.001286,6240.033082686512,0,8.771,7.257,1,11.552,1.6046,0.68,1.29e-06,82,19
33,6.334,0.401,0.438,5.9911,0.64,2.5841,9.0487,0.41,0.000241,0.124199,0.4323,0.25,0.83,-13.6437,15.944,3.468,10.429,7.512,0.798,0.7013,3.00502,2,0.7453,460.6,1,2,21.06,22.5,3.68,3.68,31.6,12.8,0.0005624,6024.937946493279,1,7.645,14.906,0,13.369,1.0719,0.8,1.7e-06,72,11
34,6.191,0.299,0.143,5.0312,0.45,1.3602,11.9813,0.22,0.000284,0.122731,0.6487,0.27,0.7,-79.0109,75.999,6.585,14.43,5.734,0.703,0.9594,4.19637,0,0.5416,667.5,4,1,24.55,24.8,5.96,2.71,49.6,17.4,0.0014417,2682.3377105431473,1,5.291,9.511,0,4.294,1.1707,0.98,1.34e-06,79,28
35,2.924,0.712,0.709,2.9869,0.62,2.0604,2.7503,0.38,0.000491,0.145937,0.9706,0.56,0.52,-76.4399,55.92,3.024,16.367,7.309,0.658,0.9373,4.38794,0,0.6286,1262.9,4,2,20.72,22.1,1.41,3.52,45.8,15.6,0.0009321,13954.431222445817,0,1.285,13.234,1,13.406,1.452,0.76,1.48e-06,48,12
36,3.048,0.467,0.101,5.413,0.26,2.638,3.736,0.24,0.000578,0.12595,0.5517,0.75,0.68,49.1731,32.276,6.165,6.603,7.257,0.717,0.6707,4.58614,2,0.5169,737.1,3,1,21.4,25.42,0.2,4.6,31.4,11.9,0.0006428,2137.013916509579,1,6.694,5.372,0,5.907,2.4174,0.8,1.13e-06,104,20
37,4.82,0.596,0.154,6.5387,0.69,1.6117,5.4986,0.2,0.000576,0.132404,0.1222,0.3,0.84,78.4722,67.439,3.761,7.452,7.581,0.844,0.6826,4.10077,0,0.775,1476.1,2,0,21.43,25.69,4.24,0.79,31.4,15.7,0.0009208,11823.747241217536,0,6.25,17.419,0,1.39,2.6198,0.88,1.82e-06,74,8
38,4.19,0.788,0.808,4.4341,0.31,2.7263,7.7795,0.24,0.000354,0.080485,0.8285,0.27,0.86,28.662,22.552,4.382,6.312,7.975,0.853,0.6948,4.39249,0,0.6516,1128.5,0,1,24.74,24.93,4.33,0.57,30.6,13.8,0.0005571,12012.303537554411,1,8.727,19.311,0,13.981,2.689,1.0,1.53e-06,30,37
39,1.435,0.682,0.621,3.0752,0.46,1.6035,6.7684,0.26,0.000316,0.146198,0.9872,0.26,0.23,-84.5046,14.63,8.173,13.341,7.213,0.872,0.6465,5.15676,2,0.532,691.6,0,2,22.46,23.17,5.18,4.92,46.3,13.5,0.0003044,9279.313017174383,1,3.753,14.831,1,5.587,0.6675,0.83,1.95e-06,94,12
40,4.046,0.658,0.706,4.2505,0.35,2.5691,3.3864,0.26,0.000178,0.143921,0.3326,0.41,0.51,83.1705,22.577,5.745,18.056,4.197,0.717,0.9349,3.48869,2,0.7276,1122.5,1,2,21.84,23.27,1.26,0.49,38.9,17.7,0.0005853,6918.4515481347835,0,0.156,18.966,1,1.33,2.1512,0.85,1.31e-06,123,12
41,4.154,0.572,0.582,5.7891,0.55,2.2824,4.0093,0.41,0.000113,0.124388,0.6977,0.84,0.71,55.6804,28.342,7.071,7.963,4.564,0.772,0.7907,3.1194,0,0.5869,359.4,2,0,24.09,26.35,5.77,4.04,32.9,13.2,0.0016582,2935.159711648027,0,4.111,18.53,1,12.847,1.258,0.97,1.04e-06,87,17
42,4.359,0.595,0.284,4.2322,0.29,0.6631,7.0755,0.28,0.000601,0.12434,0.4264,0.29,0.22,-65.3232,33.988,7.451,11.834,3.327,0.611,0.6764,3.05667,1,0.6817,1398.8,4,2,21.99,26.76,1.53,1.28,45.4,11.4,0.0017215,13019.475281711451,0,2.365,14.917,1,9.696,1.3354,0.84,1.69e-06,37,14
43,4.934,0.75,0.208,6.7313,0.34,1.0252,11.1665,0.29,0.000219,0.146814,0.7158,0.57,0.38,33.6986,61.743,7.4,9.627,3.338,0.65,0.7201,4.66017,2,0.7621,300.5,1,0,18.94,25.27,0.92,3.33,39.8,17.4,0.0017302,5829.666538633854,0,6.082,15.523,0,6.14,1.2538,0.92,1.74e-06,52,18
44,2.052,0.476,0.68,5.8771,0.29,0.6167,11.0857,0.52,0.000144,0.08188,0.1745,0.21,0.66,-75.9169,35.329,5.009,14.798,4.258,0.997,0.887,3.26735,2,0.788,1499.5,0,2,18.98,20.47,3.26,4.66,47.9,11.1,0.0008274,2800.9228123579833,0,2.879,14.716,0,14.882,1.9318,0.97,1.87e-06,84,32
45,5.916,0.514,0.525,1.4327,0.46,2.3738,11.1017,0.55,0.000371,0.065956,0.8919,0.45,0.64,-29.9122,18.586,9.75,16.788,7.62,0.99,0.7672,4.79478,2,0.6421,1270.8,4,2,24.28,25.25,3.93,5.71,38.1,16.2,0.0010009,3551.8737808261835,1,9.469,9.648,0,11.554,1.9227,0.78,1.68e-06,102,38
46,5.385,0.784,0.876,2.5564,0.48,1.0105,5.8567,0.48,0.000682,0.07586,0.8672,0.41,0.57,61.3473,43.054,8.905,13.979,6.117,0.756,0.6537,4.49281,1,0.809,1268.0,1,2,24.92,25.07,1.66,0.65,42.3,16.6,0.0011242,8118.15630199744,0,3.955,17.558,0,12.275,1.0476,0.7,1.92e-06,49,35
47,5.489,0.771,0.125,5.6741,0.47,0.5716,8.7658,0.5,0.000239,0.079148,0.3237,0.6,0.41,67.8822,75.657,5.597,19.643,3.824,0.796,0.8013,3.96298,2,0.62,619.9,2,0,18.09,24.43,3.31,1.69,37.1,14.2,0.0018878,4526.402573294979,1,4.271,6.167,0,14.86,1.2527,0.96,1.6e-06,123,28
48,5.374,0.288,0.539,6.4824,0.56,2.5478,11.6747,0.2,0.000186,0.088674,0.8451,0.43,0.61,7.6822,42.383,8.848,11.903,4.528,0.894,0.6287,5.37947,0,0.5086,377.2,3,0,24.42,25.24,1.56,2.95,30.5,12.7,0.0003822,12601.34263456456,0,9.288,8.788,1,8.722,0.8946,0.77,1.28e-06,27,13
49,6.952,0.567,0.136,3.0532,0.52,2.5074,4.9906,0.34,0.000108,0.079285,0.836,0.47,0.7,-5.5194,65.973,5.971,9.455,7.207,0.897,0.9261,4.92124,2,0.7962,1449.7,1,1,24.03,25.87,1.13,5.99,45.9,11.9,0.0006215,3312.6859778613816,0,2.794,16.149,1,12.88,1.1946,0.8,1.32e-06,85,13
50,1.416,0.703,0.304,3.7127,0.54,1.7375,10.1325,0.32,0.000203,0.117133,0.5803,0.25,0.79,25.5241,53.108,3.89,7.25,4.36,0.65,0.9213,3.21107,2,0.5405,790.7,2,2,19.71,20.8,1.78,4.18,35.7,13.8,0.0007208,11885.929249306839,0,10.031,6.012,1,5.743,1.2102,0.91,1.67e-06,112,27
51,6.666,0.561,0.746,2.8031,0.3,2.1484,10.1108,0.56,0.000228,0.108886,0.525,0.88,0.36,12.489,55.808,2.985,17.134,3.348,0.985,0.8137,5.1455,0,0.8489,1404.6,3,1,20.61,26.7,4.47,3.58,39.3,11.2,0.0013944,2085.480028267775,0,0.201,17.654,0,9.593,1.9635,0.83,1.14e-06,45,13
52,3.464,0.719,0.801,6.0432,0.4,0.8477,3.2531,0.44,0.000452,0.075384,0.777,0.27,0.83,-55.3469,59.458,5.529,18.845,7.285,0.776,0.62,4.87572,1,0.5445,476.3,4,1,23.36,24.2,3.16,3.04,48.6,17.2,0.0013194,7477.40261715153,0,3.084,16.575,0,13.878,1.8459,0.83,1.47e-06,28,25
