id,elv3_window_u_value,elv3_window_shgc,elv3_window_transmittance,ext_wall_rsi,ground_floor_elevation_3_wwr,slab_on_grade_ffactor,roof_rsi,air_infiltration_rate_ventilation_on,air_infiltration_rate_ventilation_off,single_patron_door_infiltration,backdoor_rsi,roof_solar_absorptance,roof_thermal_absorptance,building_orientation,building_depth,ground_floor_height,large_store_width,small_store_width,ahu_motor_efficiency,ahu_burner_efficiency,cooling_cop,ahu_fan_speeds,ahu_fan_efficiency,ahu_fan_pressure_rise,economizer_type,exhaust_air_heat_recovery,temp_setpoint_heating_occupied,temp_setpoint_cooling_occupied,temp_setpoint_heating_setback,temp_setpoint_cooling_setback,supply_air_temp_heating,supply_air_temp_cooling,outdoor_air_flow_per_area,exterior_lighting_w,exterior_lighting_sch,ground_allowance_lpd,ground_lpd,lighting_occ_sensor,equipment_power_density,hot_water_skin_loss,water_heater_efficiency,hot_water_peak_flow,large_max_occupant_density,small_max_occupant_density
0,1.533,0.673,0.713,0.797,0.49,1.6555,6.3215,0.51,0.000191,0.070024,0.6053,0.24,0.69,36.7278,89.589,7.539,14.469,6.844,0.7,0.7463,4.37967,0,0.5811,396.1,0,0,22.21,24.78,0.31,0.29,46.4,10.4,0.0005478,12571.666924671192,1,8.018,18.138,0,2.749,1.0305,0.72,1.39e-06,107,28
1,6.77,0.502,0.153,4.7594,0.3,1.171,4.6821,0.37,0.000291,0.069668,0.9575,0.58,0.35,-77.119,63.153,8.726,11.692,4.561,0.797,0.6678,4.91075,0,0.5752,645.1,0,2,19.88,21.35,3.19,3.8,32.8,14.2,0.0017733,10037.129973801093,1,7.148,14.486,0,13.394,1.8772,0.83,1.45e-06,94,21
2,5.551,0.763,0.529,4.4039,0.38,2.6054,11.2085,0.3,0.000451,0.125199,0.1826,0.58,0.38,-69.1709,99.995,9.755,10.252,6.671,0.6,0.8421,4.26187,0,0.5836,474.4,0,2,23.48,26.57,0.59,3.67,44.8,16.9,0.0003941,9365.565820487376,1,0.505,18.955,1,9.71,2.8304,0.74,1.48e-06,108,27
3,5.228,0.527,0.515,6.2892,0.58,2.743,2.3124,0.33,0.000101,0.095772,0.6612,0.4,0.36,57.2327,79.892,5.737,14.724,7.642,0.832,0.633,4.86607,1,0.5373,800.3,2,0,19.06,26.33,1.08,1.97,47.0,15.2,0.0017262,6770.534055747953,0,6.021,15.309,1,3.976,1.9274,0.65,1.27e-06,74,2
4,5.368,0.355,0.377,2.9288,0.29,0.8304,6.9959,0.47,0.000619,0.089448,0.9371,0.26,0.78,20.3844,11.58,5.842,8.82,6.664,0.656,0.8403,3.97751,0,0.5071,619.7,3,2,21.03,26.7,3.79,1.75,46.1,11.1,0.000584,10868.753678810648,0,4.182,14.981,1,8.674,2.0862,0.81,1.26e-06,71,29
5,5.219,0.599,0.427,3.6426,0.42,2.1371,8.033,0.38,0.000302,0.087881,0.6422,0.47,0.58,-20.23,53.241,5.911,15.136,4.769,0.951,0.6482,3.3611,2,0.6627,1427.5,3,0,24.77,25.26,2.81,0.25,44.9,17.1,0.0005043,7652.895157603614,1,3.829,11.697,0,4.838,1.285,0.7,1.52e-06,91,27
6,4.915,0.411,0.382,2.6549,0.27,1.1063,5.6616,0.54,0.000424,0.096494,0.8938,0.26,0.89,-57.347,27.152,4.597,17.156,5.248,0.603,0.8146,3.78576,1,0.7245,1175.3,0,0,22.9,24.5,1.01,5.07,36.1,15.9,0.0015842,12700.200084841827,0,1.497,10.81,0,14.796,0.9546,0.75,1.02e-06,110,22
7,4.176,0.45,0.145,6.5396,0.6,2.6072,11.6214,0.58,0.000532,0.07786,0.6539,0.54,0.36,-52.9191,98.419,5.618,6.517,4.223,0.907,0.9244,5.06337,1,0.5975,1036.0,3,1,24.36,26.24,0.12,5.71,31.4,17.2,0.0010394,2874.668986974318,0,10.275,18.427,1,9.344,1.9478,0.92,1.53e-06,26,32
8,4.085,0.46,0.659,4.632,0.46,1.5144,8.4943,0.31,0.000561,0.107187,0.763,0.26,0.61,64.8936,86.004,9.612,6.133,4.597,0.703,0.8869,4.25811,1,0.8312,727.2,1,2,24.8,26.23,5.69,3.63,45.5,10.1,0.0019941,5330.086038704478,1,9.494,8.646,1,9.863,2.3404,0.81,1.21e-06,27,5
9,6.943,0.227,0.347,4.8068,0.3,0.7779,11.153,0.37,0.000316,0.073098,0.4747,0.71,0.85,-6.625,26.246,9.993,11.088,4.615,0.63,0.6162,4.28659,2,0.6023,573.6,3,2,20.7,25.9,3.88,4.2,48.6,15.5,0.0006808,5096.060691815095,0,0.138,17.505,0,5.315,2.7696,0.82,1.42e-06,64,29
10,4.813,0.782,0.862,4.9358,0.64,1.6754,6.8903,0.5,0.000431,0.069099,0.9855,0.48,0.9,-67.9645,65.889,6.827,9.901,5.236,0.672,0.6239,3.25461,2,0.7613,903.7,1,0,18.03,23.31,4.86,1.42,32.7,11.4,0.0019854,10863.075135376002,1,4.499,14.38,1,12.488,2.2455,0.84,1.08e-06,66,2
11,2.599,0.22,0.31,2.3475,0.79,1.7453,7.16,0.51,0.000614,0.067603,0.2645,0.46,0.24,23.456,65.655,3.247,17.342,4.045,0.708,0.8313,3.56071,2,0.5533,640.5,3,1,18.89,26.09,4.43,2.73,37.3,10.3,0.0006352,10400.48602879608,0,4.222,13.355,0,13.712,2.8226,0.9,1.38e-06,38,36
12,5.531,0.51,0.706,1.8249,0.29,1.4814,2.7035,0.44,0.000621,0.133381,0.9512,0.37,0.36,58.3793,36.074,5.078,12.669,7.252,0.733,0.7898,5.36171,2,0.7788,739.7,4,0,21.9,24.09,4.41,3.65,46.2,17.3,0.0017023,3563.2747204004772,0,0.976,19.23,1,3.507,2.8019,0.94,1.02e-06,92,12
13,1.571,0.273,0.82,6.5046,0.33,2.6947,4.0345,0.46,0.00011,0.111768,0.2772,0.46,0.53,-89.9037,44.749,7.612,19.142,3.024,0.622,0.8552,5.03746,2,0.5512,1438.1,4,1,24.78,25.97,0.92,4.13,32.2,18.0,0.0018685,4757.84311320798,1,8.665,10.596,1,1.348,1.1598,0.69,1.69e-06,117,10
14,2.415,0.591,0.203,5.0556,0.64,0.5485,8.2524,0.49,0.000258,0.085667,0.2629,0.48,0.59,-12.9547,65.008,8.357,18.297,4.889,0.669,0.8025,5.1147,1,0.5534,797.0,3,1,24.09,25.93,2.15,4.6,49.1,15.5,0.0014873,4474.949090712001,0,9.707,17.963,1,13.127,2.1386,0.7,1.52e-06,98,33
15,6.05,0.497,0.493,6.3137,0.41,1.0093,5.6549,0.25,0.000489,0.125738,0.9053,0.24,0.45,-69.8074,68.095,9.065,10.632,5.209,0.663,0.9024,3.99067,2,0.6273,1352.1,3,2,23.66,24.58,0.82,5.13,48.6,13.8,0.0019643,6796.453305006618,0,3.717,18.183,0,3.22,2.5744,0.88,1.88e-06,125,19
16,5.209,0.23,0.156,4.9691,0.39,0.7206,3.5844,0.55,0.000502,0.113901,0.794,0.32,0.55,30.0492,23.506,8.617,8.64,6.68,0.982,0.6698,5.10972,2,0.8253,752.1,3,0,19.51,26.19,4.08,1.61,34.2,16.8,0.0007723,3270.3755586667558,1,11.668,14.619,1,3.216,1.3613,0.7,1.38e-06,80,8
17,4.028,0.414,0.738,4.6607,0.69,1.565,3.1756,0.54,0.00052,0.102777,0.595,0.32,0.75,66.3702,39.578,6.417,9.684,7.347,0.889,0.6998,3.95651,2,0.8524,1181.5,2,1,20.18,21.99,1.71,4.48,38.0,16.5,0.001968,6185.919554256663,0,0.459,9.469,0,4.93,0.7953,0.65,1.07e-06,85,11
18,6.298,0.604,0.272,3.5795,0.73,0.559,6.9895,0.49,0.000659,0.138556,0.46,0.4,0.49,8.0236,64.503,5.853,14.235,4.533,0.792,0.8518,4.47207,0,0.7153,1423.4,4,0,20.24,23.01,2.37,1.48,44.1,14.8,0.0005932,11984.080049133549,1,10.653,5.877,0,5.206,1.47,0.65,1.02e-06,73,20
19,5.477,0.276,0.38,6.4521,0.5,1.2151,5.2219,0.31,0.000119,0.050585,0.7396,0.47,0.46,-32.2877,69.967,7.336,18.741,3.431,0.791,0.7438,3.52497,2,0.6109,1203.4,1,0,19.17,22.08,3.73,3.7,45.2,13.9,0.0014926,3982.49348426469,1,0.409,13.487,1,6.417,2.5133,0.82,1.9e-06,28,15
20,2.123,0.478,0.783,3.2132,0.31,2.1855,9.3052,0.48,0.000139,0.123905,0.7192,0.47,0.48,-14.3995,36.865,9.957,7.523,7.646,0.643,0.6214,3.81699,0,0.587,1107.9,2,0,23.92,26.84,1.5,2.58,30.5,15.9,0.000734,13013.217359418963,1,2.648,12.106,0,1.011,2.7624,0.7,1.68e-06,71,38
