,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
0,1721,5A,RetailStripmall,2009 RetailStripmall,2298.27,24738.348453,2298.27,24738.348453,0.0,508.34,66.83,0.0,478.43,0.0,152.11,0.0,362.13,0.0,0.0,0.0,236.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,72.65,0.0,0.0,0.0,0.0,0.0,0.5987286089101802,52.721146973812495,0.2211837599585775,19.476372672791378
1,748,5A,RetailStripmall,2009 RetailStripmall,4246.75,45711.592325,4246.75,45711.592325,0.0,299.21,147.29,0.0,669.94,0.0,164.96,0.0,582.53,0.0,0.0,0.0,176.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,0.0,75.13,0.0,0.0,0.0,0.0,0.0,0.4378830870665803,38.55786786705422,0.0704562312356507,6.204035128631893
2,1445,5A,RetailStripmall,2009 RetailStripmall,3511.72,37799.802908,3511.72,37799.802908,0.0,742.42,174.34,0.0,1297.78,0.0,69.99,0.0,239.94,0.0,0.0,0.0,483.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,66.37,0.0,0.0,0.0,0.0,0.0,0.6674620983449706,58.77348578740372,0.2114120715774606,18.61592503147874
3,3666,5A,RetailStripmall,2009 RetailStripmall,2335.77,25141.994703,2335.77,25141.994703,0.0,716.05,106.57,0.0,593.61,0.0,44.27,0.0,400.84,0.0,0.0,0.0,197.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.6128300303540161,53.96284997817264,0.3065584368323936,26.994054006741862
4,2285,5A,RetailStripmall,2009 RetailStripmall,1631.07,17556.674372999998,1631.07,17556.674372999998,0.0,463.5,89.41,0.0,456.98,0.0,81.11,0.0,136.19,0.0,0.0,0.0,227.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,84.31,0.0,0.0,0.0,0.0,0.0,0.6668505950081849,58.71963975964779,0.2841692876455333,25.022573761213547
5,6,5A,RetailStripmall,2009 RetailStripmall,1592.86,17145.385754,1592.86,17145.385754,0.0,340.49,126.03,0.0,514.72,0.0,55.77,0.0,222.19,0.0,0.0,0.0,503.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.81,0.0,0.0,0.0,0.0,0.0,0.9272691887548185,81.65084222986331,0.2137601546903055,18.82268587947689
6,3678,5A,RetailStripmall,2009 RetailStripmall,1231.55,13256.281045,1231.55,13256.281045,0.0,416.16,97.13,0.0,452.39,0.0,118.29,0.0,211.66,0.0,0.0,0.0,255.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.33,0.0,65.33,0.0,0.0,0.0,0.0,0.0,1.0155982298729245,89.42867059741039,0.3379156347691933,29.75521727255293
7,672,5A,RetailStripmall,2009 RetailStripmall,4623.15,49763.12428499999,4623.15,49763.12428499999,0.0,346.6,225.04,0.0,1486.45,0.0,49.8,0.0,954.44,0.0,0.0,0.0,151.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78,0.0,78.38,0.0,0.0,0.0,0.0,0.0,0.6476666342212561,57.0303929103474,0.0749705287520413,6.60154234526274
8,3698,5A,RetailStripmall,2009 RetailStripmall,4260.15,45855.828585,4260.15,45855.828585,0.0,35.9,276.02,0.0,1495.73,0.0,119.16,0.0,197.31,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.6242057204558525,54.964538257072704,0.0084269333239439,0.7420350116872716
9,716,5A,RetailStripmall,2009 RetailStripmall,1163.9,12528.10321,1163.9,12528.10321,0.0,594.89,93.32,0.0,378.83,0.0,43.7,0.0,217.2,0.0,0.0,0.0,237.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.36,0.0,0.0,0.0,0.0,0.0,0.8949823868029899,78.80782252830754,0.5111177936248819,45.00656210111156
10,2512,5A,RetailStripmall,2009 RetailStripmall,6127.83,65959.34933699999,6127.83,65959.34933699999,0.0,2122.03,243.49,0.0,1708.18,0.0,210.27,0.0,517.79,0.0,0.0,0.0,315.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.76,0.0,0.0,0.0,0.0,0.0,0.5000318220316164,44.03038503354181,0.3462938756460281,30.49296466273297
11,328,5A,RetailStripmall,2009 RetailStripmall,3535.29,38053.508031,3535.29,38053.508031,0.0,1504.83,73.45,0.0,581.38,0.0,66.37,0.0,342.05,0.0,0.0,0.0,286.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.74,0.0,76.83,0.0,0.0,0.0,0.0,0.0,0.4065126198982262,35.79553617685756,0.4256595639961644,37.48152351546861
12,3811,5A,RetailStripmall,2009 RetailStripmall,4883.91,52569.918849,4883.91,52569.918849,0.0,853.79,272.9,0.0,1483.36,0.0,124.14,0.0,283.58,0.0,0.0,0.0,944.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,0.0,75.08,0.0,0.0,0.0,0.0,0.0,0.6535767448622108,57.55080868319718,0.1748168987553005,15.393531018269655
13,78,5A,RetailStripmall,2009 RetailStripmall,2146.24,23101.912736,2146.24,23101.912736,0.0,960.09,81.25,0.0,706.96,0.0,125.6,0.0,143.63,0.0,0.0,0.0,273.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0.0,69.43,0.0,0.0,0.0,0.0,0.0,0.6568230952735948,57.83666660717145,0.4473358058744596,39.39022858968521
14,1676,5A,RetailStripmall,2009 RetailStripmall,5702.3,61378.98697,5702.3,61378.98697,0.0,635.26,122.71,0.0,1933.32,0.0,156.89,0.0,117.28,0.0,0.0,0.0,112.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.35,0.0,86.5,0.0,0.0,0.0,0.0,0.0,0.4523736036336215,39.83383270703075,0.1114041702470932,9.809712690668738
15,3874,5A,RetailStripmall,2009 RetailStripmall,6713.81,72266.779459,6713.81,72266.779459,0.0,1107.69,150.57,0.0,2481.73,0.0,40.57,0.0,575.25,0.0,0.0,0.0,112.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,73.9,0.0,0.0,0.0,0.0,0.0,0.5179741458277788,45.61029933165933,0.1649867958729842,14.527939678364186
16,3474,5A,RetailStripmall,2009 RetailStripmall,4420.06,47577.083834000005,4420.06,47577.083834000005,0.0,2140.93,104.46,0.0,900.91,0.0,72.56,0.0,472.82,0.0,0.0,0.0,180.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88,0.0,0.0,0.0,0.0,0.0,0.4061619073044257,35.76465412123476,0.4843667280534652,42.6509925847928
17,2685,5A,RetailStripmall,2009 RetailStripmall,3546.36,38172.664404,3546.36,38172.664404,0.0,240.74,220.57,0.0,863.28,0.0,93.4,0.0,130.32,0.0,0.0,0.0,880.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.56,0.0,91.96,0.0,0.0,0.0,0.0,0.0,0.6535433514927982,57.547868224514296,0.0678836891911706,5.97750951217568
18,510,5A,RetailStripmall,2009 RetailStripmall,5700.68,61361.549452,5700.68,61361.549452,0.0,162.86,339.19,0.0,1858.28,0.0,75.98,0.0,446.76,0.0,0.0,0.0,320.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,68.27,0.0,0.0,0.0,0.0,0.0,0.5464155153420294,48.11470884204947,0.0285685216500487,2.515605912799661
19,2632,5A,RetailStripmall,2009 RetailStripmall,880.47,9477.291033,880.47,9477.291033,0.0,333.85,61.45,0.0,298.55,0.0,86.2,0.0,157.17,0.0,0.0,0.0,290.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.0,75.76,0.0,0.0,0.0,0.0,0.0,1.1083171487955297,97.59305038321916,0.3791724874214908,33.388096276477405
20,3048,5A,RetailStripmall,2009 RetailStripmall,5800.06,62431.265834000005,5800.06,62431.265834000005,0.0,80.15,256.0,0.0,2340.8,0.0,47.48,0.0,796.6,0.0,0.0,0.0,1467.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59,0.0,70.16,0.0,0.0,0.0,0.0,0.0,0.8615617769471349,75.86496518368831,0.0138188225639045,1.2168187131107018
21,339,5A,RetailStripmall,2009 RetailStripmall,3276.6,35268.994739999995,3276.6,35268.994739999995,0.0,39.55,139.17,0.0,1123.99,0.0,122.83,0.0,297.0,0.0,0.0,0.0,421.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.74,0.0,68.39,0.0,0.0,0.0,0.0,0.0,0.6779008728560093,59.69267380854191,0.0120704388695599,1.062864496885856
22,2884,5A,RetailStripmall,2009 RetailStripmall,2786.46,29993.176794,2786.46,29993.176794,0.0,448.4,138.63,0.0,428.24,0.0,144.47,0.0,462.59,0.0,0.0,0.0,239.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.86,0.0,0.0,0.0,0.0,0.0,0.5296935897159837,46.64225690723944,0.1609210252434989,14.16992757116077
23,2602,5A,RetailStripmall,2009 RetailStripmall,3232.74,34796.890086,3232.74,34796.890086,0.0,704.13,145.23,0.0,1198.95,0.0,127.52,0.0,264.8,0.0,0.0,0.0,697.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,63.33,0.0,0.0,0.0,0.0,0.0,0.7760939636345638,68.33908270517391,0.2178121345978953,19.179483642376216
24,1747,5A,RetailStripmall,2009 RetailStripmall,3445.87,37091.000093,3445.87,37091.000093,0.0,703.96,70.13,0.0,1036.76,0.0,89.45,0.0,159.6,0.0,0.0,0.0,242.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,0.0,82.69,0.0,0.0,0.0,0.0,0.0,0.490369630891473,43.17957918994633,0.2042909337845014,17.988872061875792
25,357,5A,RetailStripmall,2009 RetailStripmall,3985.8,42902.75262,3985.8,42902.75262,0.0,1101.58,104.09,0.0,1292.51,0.0,63.36,0.0,89.37,0.0,0.0,0.0,151.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06,0.0,0.0,0.0,0.0,0.0,0.4454036830749159,39.22009519607369,0.2763761352802448,24.336346436971343
26,91,5A,RetailStripmall,2009 RetailStripmall,3788.1,40774.72959,3788.1,40774.72959,0.0,1151.36,188.78,0.0,565.88,0.0,62.27,0.0,499.18,0.0,0.0,0.0,388.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,73.05,0.0,0.0,0.0,0.0,0.0,0.4718882817243472,41.55220092337589,0.3039412898286739,26.76360069320082
27,82,5A,RetailStripmall,2009 RetailStripmall,3513.6,37820.03904,3513.6,37820.03904,0.0,449.67,73.69,0.0,666.57,0.0,196.72,0.0,342.08,0.0,0.0,0.0,234.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.17,0.0,0.0,0.0,0.0,0.0,0.4530936930783242,39.89724030253144,0.1279798497267759,11.26928689680168
28,2112,5A,RetailStripmall,2009 RetailStripmall,6138.28,66071.832092,6138.28,66071.832092,0.0,1631.2,295.05,0.0,1620.35,0.0,36.11,0.0,1322.1,0.0,0.0,0.0,726.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.05,0.0,0.0,0.0,0.0,0.0,0.6631336465589709,58.39234324739027,0.2657421948819539,23.399973051257344
29,1047,5A,RetailStripmall,2009 RetailStripmall,1927.86,20751.292254,1927.86,20751.292254,0.0,879.47,85.6,0.0,758.53,0.0,30.41,0.0,368.1,0.0,0.0,0.0,129.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,0.0,67.57,0.0,0.0,0.0,0.0,0.0,0.7509725809965454,66.12701518988496,0.4561897648169473,40.16986541304775
30,1408,5A,RetailStripmall,2009 RetailStripmall,2924.42,31478.164438,2924.42,31478.164438,0.0,184.06,180.54,0.0,386.89,0.0,25.39,0.0,538.91,0.0,0.0,0.0,143.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,72.25,0.0,0.0,0.0,0.0,0.0,0.4791787773302056,42.19416672328649,0.0629389759336894,5.542101966066361
31,3899,5A,RetailStripmall,2009 RetailStripmall,2343.41,25224.230899,2343.41,25224.230899,0.0,457.41,96.29,0.0,450.96,0.0,45.28,0.0,335.63,0.0,0.0,0.0,226.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32,0.0,0.0,0.0,0.0,0.0,0.5206387273247106,45.84492949736853,0.1951899155504158,17.187480391609782
32,3037,5A,RetailStripmall,2009 RetailStripmall,795.44,8562.036616,795.44,8562.036616,0.0,868.67,48.05,0.0,201.75,0.0,67.01,0.0,69.46,0.0,0.0,0.0,196.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.18,0.0,0.0,0.0,0.0,0.0,0.8337146736397465,73.41288388271944,1.09206225485266,96.16172300074172
33,3491,5A,RetailStripmall,2009 RetailStripmall,2844.07,30613.285073,2844.07,30613.285073,0.0,566.52,126.65,0.0,907.52,0.0,31.85,0.0,489.65,0.0,0.0,0.0,457.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.42,0.0,0.0,0.0,0.0,0.0,0.7372743990126825,64.92081950306151,0.1991934094449152,17.540008710583635
34,3230,5A,RetailStripmall,2009 RetailStripmall,2239.9,24110.05961,2239.9,24110.05961,0.0,540.11,52.15,0.0,378.04,0.0,73.91,0.0,128.46,0.0,0.0,0.0,64.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,91.69,0.0,0.0,0.0,0.0,0.0,0.3759632126434216,33.10550305354471,0.2411313005044868,21.232856664430287
35,2494,5A,RetailStripmall,2009 RetailStripmall,6345.55,68302.865645,6345.55,68302.865645,0.0,201.5,333.07,0.0,2186.89,0.0,116.59,0.0,866.15,0.0,0.0,0.0,403.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,71.75,0.0,0.0,0.0,0.0,0.0,0.6353523335250687,55.94605511986641,0.0317545366437897,2.7961509915650336
36,1708,5A,RetailStripmall,2009 RetailStripmall,4735.03,50967.389417,4735.03,50967.389417,0.0,1244.81,115.75,0.0,1104.72,0.0,160.59,0.0,818.15,0.0,0.0,0.0,238.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55,0.0,73.89,0.0,0.0,0.0,0.0,0.0,0.5325752951934836,46.89600596107377,0.2628937937035245,23.149156613002123
37,3369,5A,RetailStripmall,2009 RetailStripmall,4773.68,51383.414152,4773.68,51383.414152,0.0,2187.86,156.54,0.0,931.02,0.0,41.45,0.0,424.06,0.0,0.0,0.0,477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,0.0,73.76,0.0,0.0,0.0,0.0,0.0,0.4427527609726667,38.98666781062906,0.4583172730472089,40.35720350317138
38,1395,5A,RetailStripmall,2009 RetailStripmall,1992.48,21446.855472,1992.48,21446.855472,0.0,450.33,187.63,0.0,763.9,0.0,57.76,0.0,417.48,0.0,0.0,0.0,488.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,81.59,0.0,0.0,0.0,0.0,0.0,1.0059423432104713,88.57841989564372,0.2260148157070585,19.901772088092336
39,3581,5A,RetailStripmall,2009 RetailStripmall,2731.52,29401.808128,2731.52,29401.808128,0.0,16.77,164.68,0.0,975.29,0.0,40.15,0.0,329.97,0.0,0.0,0.0,235.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45,0.0,0.0,0.0,0.0,0.0,0.6668521555763823,58.71977717573928,0.0061394388472352,0.5406093060944419
40,3099,5A,RetailStripmall,2009 RetailStripmall,1476.42,15892.037238,1476.42,15892.037238,0.0,605.92,124.82,0.0,275.94,0.0,61.96,0.0,236.28,0.0,0.0,0.0,102.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.18,0.0,0.0,0.0,0.0,0.0,0.6035206783977458,53.14311344744157,0.4103981251947277,36.13767499026294
41,2571,5A,RetailStripmall,2009 RetailStripmall,3449.91,37134.486249,3449.91,37134.486249,0.0,1059.9,186.7,0.0,1181.29,0.0,94.67,0.0,180.73,0.0,0.0,0.0,262.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.5784788588687821,50.93805187491824,0.3072254058801534,27.05278407687821
42,2173,5A,RetailStripmall,2009 RetailStripmall,1436.95,15467.186105,1436.95,15467.186105,0.0,736.32,111.14,0.0,378.91,0.0,52.16,0.0,265.67,0.0,0.0,0.0,220.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,82.39,0.0,0.0,0.0,0.0,0.0,0.7794843244371759,68.637621488036,0.5124186645325168,45.12111050466992
43,303,5A,RetailStripmall,2009 RetailStripmall,6900.07,74271.663473,6900.07,74271.663473,0.0,719.31,650.8,0.0,1376.58,0.0,52.59,0.0,1223.39,0.0,0.0,0.0,972.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55,0.0,0.0,0.0,0.0,0.0,0.6308385277250811,55.54859120140499,0.104246768511044,9.179466493541586
44,730,5A,RetailStripmall,2009 RetailStripmall,4967.79,53472.794781,4967.79,53472.794781,0.0,135.79,371.02,0.0,2007.52,0.0,127.16,0.0,770.44,0.0,0.0,0.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.23,0.0,89.59,0.0,0.0,0.0,0.0,0.0,0.7253668130094065,63.87229504233008,0.0273340861831921,2.4069074929992484
45,2968,5A,RetailStripmall,2009 RetailStripmall,566.51,6097.856989,566.51,6097.856989,0.0,575.08,54.09,0.0,190.12,0.0,158.34,0.0,45.1,0.0,0.0,0.0,154.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.17,0.0,0.0,0.0,0.0,0.0,1.1983724912181604,105.52288849849246,1.015127711779139,89.38723904861325
46,1140,5A,RetailStripmall,2009 RetailStripmall,3259.07,35080.303573,3259.07,35080.303573,0.0,214.29,197.88,0.0,524.76,0.0,26.94,0.0,583.07,0.0,0.0,0.0,77.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,67.69,0.0,0.0,0.0,0.0,0.0,0.4687196040588265,41.27318248592284,0.0657518862743052,5.789793252710744
47,373,5A,RetailStripmall,2009 RetailStripmall,5606.99,60353.079661,5606.99,60353.079661,0.0,399.54,267.85,0.0,1186.47,0.0,142.24,0.0,1177.76,0.0,0.0,0.0,438.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0,83.07,0.0,0.0,0.0,0.0,0.0,0.5924462144573114,52.16794968815072,0.0712574839619831,6.274589570359722
48,3042,5A,RetailStripmall,2009 RetailStripmall,2118.26,22800.738814,2118.26,22800.738814,0.0,943.06,172.79,0.0,338.08,0.0,209.01,0.0,446.4,0.0,0.0,0.0,404.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.74,0.0,0.0,0.0,0.0,0.0,0.774952083313663,68.23853424410355,0.4452050267672523,39.20260248194956
49,134,5A,RetailStripmall,2009 RetailStripmall,6245.4,67224.86106,6245.4,67224.86106,0.0,922.68,230.78,0.0,2644.96,0.0,206.86,0.0,254.92,0.0,0.0,0.0,224.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,0.0,0.0,0.0,0.0,0.0,0.5818826656419125,51.237774644944736,0.1477375348256316,13.009053135557346
50,2790,5A,RetailStripmall,2009 RetailStripmall,4381.26,47159.444514,4381.26,47159.444514,0.0,676.14,84.27,0.0,1296.31,0.0,57.12,0.0,382.58,0.0,0.0,0.0,288.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,74.96,0.0,0.0,0.0,0.0,0.0,0.5070025517773425,44.64419379759618,0.1543254680160501,13.58915468543638
51,1056,5A,RetailStripmall,2009 RetailStripmall,4405.1,47416.05589,4405.1,47416.05589,0.0,759.17,217.02,0.0,982.54,0.0,124.08,0.0,394.87,0.0,0.0,0.0,890.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,77.12,0.0,0.0,0.0,0.0,0.0,0.6114685251186125,53.84296240882468,0.1723388799346212,15.175328659964592
52,267,5A,RetailStripmall,2009 RetailStripmall,5445.71,58617.077869,5445.71,58617.077869,0.0,202.48,217.59,0.0,1818.38,0.0,28.06,0.0,1049.62,0.0,0.0,0.0,1027.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78,0.0,61.29,0.0,0.0,0.0,0.0,0.0,0.7779004023350491,68.49814896459455,0.0371815612656568,3.274028544870452
53,1644,5A,RetailStripmall,2009 RetailStripmall,7293.24,78503.70603599999,7293.24,78503.70603599999,0.0,183.71,1587.71,0.0,2794.48,0.0,140.97,0.0,1205.21,0.0,0.0,0.0,3413.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2,0.0,0.0,0.0,0.0,0.0,1.2633685440215872,111.24612670954846,0.0251890792021104,2.218028547469479
54,1185,5A,RetailStripmall,2009 RetailStripmall,4246.45,45708.363155,4246.45,45708.363155,0.0,1831.35,113.74,0.0,1033.36,0.0,181.44,0.0,531.24,0.0,0.0,0.0,215.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.5058978676306091,44.54692065181217,0.4312661164031132,37.975209417669205
55,3068,5A,RetailStripmall,2009 RetailStripmall,2268.8,24421.13632,2268.8,24421.13632,0.0,71.05,141.1,0.0,761.22,0.0,128.19,0.0,177.77,0.0,0.0,0.0,835.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51,0.0,73.92,0.0,0.0,0.0,0.0,0.0,0.9537861424541606,83.98579698645241,0.031316114245416,2.757545634551373
