,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
0,447,5C,RetailStripmall,2009 RetailStripmall,2355.39,25353.182421,2355.39,25353.182421,0.0,249.58,63.42,0.0,762.93,0.0,208.33,0.0,184.8,0.0,0.0,0.0,119.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.01,0.0,70.24,0.0,0.0,0.0,0.0,0.0,0.6143611036813437,54.09766889398267,0.1059612208593906,9.33043287946609
1,3573,5C,RetailStripmall,2009 RetailStripmall,2988.51,32168.022789,2988.51,32168.022789,0.0,0.03,35.38,0.0,938.17,0.0,79.24,0.0,461.76,0.0,0.0,0.0,334.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,73.65,0.0,0.0,0.0,0.0,0.0,0.6603056372573622,58.14332241923108,1.0038447252978908e-05,0.000883937138024
2,3144,5C,RetailStripmall,2009 RetailStripmall,4358.04,46909.506756,4358.04,46909.506756,0.0,84.85,183.71,0.0,1316.14,0.0,114.39,0.0,808.16,0.0,0.0,0.0,374.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,67.1,0.0,0.0,0.0,0.0,0.0,0.6599847637928977,58.11506785309162,0.0194697616359647,1.7144130904704835
3,2529,5C,RetailStripmall,2009 RetailStripmall,8107.96,87273.270644,8107.96,87273.270644,0.0,36.91,374.22,0.0,2801.27,0.0,125.82,0.0,257.85,0.0,0.0,0.0,1141.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45,0.0,0.0,0.0,0.0,0.0,0.5904777527269498,51.99461646395817,0.0045523164889811,0.4008549835688451
4,224,5C,RetailStripmall,2009 RetailStripmall,4542.26,48892.432414,4542.26,48892.432414,0.0,668.89,37.35,0.0,514.45,0.0,27.92,0.0,106.47,0.0,0.0,0.0,313.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.07,0.0,63.18,0.0,0.0,0.0,0.0,0.0,0.2454372933297521,21.61202157693082,0.1472592938317049,12.966941545507211
5,1921,5C,RetailStripmall,2009 RetailStripmall,2889.82,31105.733498,2889.82,31105.733498,0.0,179.9,86.75,0.0,391.11,0.0,135.76,0.0,329.82,0.0,0.0,0.0,161.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,83.69,0.0,0.0,0.0,0.0,0.0,0.4137524136451405,36.43303741616851,0.0622530122983438,5.481699324369361
6,3239,5C,RetailStripmall,2009 RetailStripmall,3335.19,35899.651641,3335.19,35899.651641,0.0,32.65,15.03,0.0,522.59,0.0,70.62,0.0,668.84,0.0,0.0,0.0,211.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,80.79,0.0,0.0,0.0,0.0,0.0,0.4800326218296409,42.26935214231875,0.0097895472221972,0.862020204526363
7,387,5C,RetailStripmall,2009 RetailStripmall,628.0,6759.7292,628.0,6759.7292,0.0,116.59,13.01,0.0,183.58,0.0,44.89,0.0,31.62,0.0,0.0,0.0,159.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,0.0,66.1,0.0,0.0,0.0,0.0,0.0,0.8019904458598726,70.61940174319409,0.1856528662420382,16.347693932768788
8,2331,5C,RetailStripmall,2009 RetailStripmall,1167.74,12569.436586,1167.74,12569.436586,0.0,649.44,3.02,0.0,298.73,0.0,93.25,0.0,90.43,0.0,0.0,0.0,108.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65,0.0,0.0,0.0,0.0,0.0,0.5602274478907976,49.33092085373445,0.5561511980406598,48.97198599701819
9,639,5C,RetailStripmall,2009 RetailStripmall,2494.13,26846.565907,2494.13,26846.565907,0.0,62.3,147.27,0.0,612.66,0.0,98.89,0.0,422.07,0.0,0.0,0.0,831.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.65,0.0,0.0,0.0,0.0,0.0,0.8784064984583803,77.3482299305388,0.0249786498698945,2.1994991577154943
