id,elv3_window_u_value,elv3_window_shgc,elv3_window_transmittance,ext_wall_rsi,ground_floor_elevation_3_wwr,slab_on_grade_ffactor,roof_rsi,air_infiltration_rate_ventilation_on,air_infiltration_rate_ventilation_off,single_patron_door_infiltration,backdoor_rsi,roof_solar_absorptance,roof_thermal_absorptance,building_orientation,building_depth,ground_floor_height,large_store_width,small_store_width,ahu_motor_efficiency,ahu_burner_efficiency,cooling_cop,ahu_fan_speeds,ahu_fan_efficiency,ahu_fan_pressure_rise,economizer_type,exhaust_air_heat_recovery,temp_setpoint_heating_occupied,temp_setpoint_cooling_occupied,temp_setpoint_heating_setback,temp_setpoint_cooling_setback,supply_air_temp_heating,supply_air_temp_cooling,outdoor_air_flow_per_area,exterior_lighting_w,exterior_lighting_sch,ground_allowance_lpd,ground_lpd,lighting_occ_sensor,equipment_power_density,hot_water_skin_loss,water_heater_efficiency,hot_water_peak_flow,large_max_occupant_density,small_max_occupant_density
0,1.914,0.595,0.407,1.0067,0.54,2.1255,6.6925,0.57,0.000661,0.071935,0.31,0.55,0.66,13.2835,68.051,6.415,10.403,4.317,0.666,0.6688,3.29649,0,0.5628,939.9,1,1,23.92,25.13,0.28,2.13,38.6,13.7,0.0019154,10935.125906629315,0,1.604,8.89,1,7.67,1.4336,0.81,1.77e-06,73,28
1,1.743,0.693,0.341,1.2586,0.27,1.7318,6.5676,0.27,0.000535,0.148123,0.9694,0.35,0.38,-87.7031,50.097,8.399,11.943,6.902,0.969,0.6948,4.05371,1,0.832,1119.2,1,0,18.2,26.07,1.53,5.05,42.6,13.2,0.0009906,4505.391182767933,1,1.267,11.485,0,11.435,1.214,0.72,1.09e-06,20,18
2,5.542,0.426,0.103,2.2126,0.51,2.676,5.4728,0.56,0.000616,0.136928,0.7949,0.24,0.45,14.6027,66.521,5.041,7.409,3.357,0.632,0.6603,5.41734,0,0.6857,545.3,2,1,22.64,25.45,4.42,5.52,35.4,16.7,0.0003549,11555.643737682805,1,10.782,14.239,1,11.389,0.6833,0.71,1.28e-06,92,34
3,2.048,0.703,0.146,1.1662,0.44,1.3457,2.7813,0.35,0.000429,0.118065,0.2163,0.79,0.42,21.5132,75.3,8.595,7.98,4.827,0.954,0.7136,5.00185,0,0.5796,1128.4,3,1,23.6,25.68,4.59,1.09,35.8,15.3,0.0003471,5444.871534475731,1,9.739,10.402,1,10.556,0.8079,0.9,1.29e-06,80,27
4,5.419,0.43,0.71,5.5831,0.57,2.7995,5.8995,0.54,0.00068,0.093317,0.9278,0.84,0.2,18.4601,39.734,7.338,19.04,6.942,0.816,0.679,4.84747,0,0.7856,584.4,4,0,21.18,23.2,5.21,0.59,31.7,17.8,0.0016883,2783.874287635604,0,6.296,11.24,1,9.493,1.3475,0.7,1.76e-06,74,40
5,4.522,0.411,0.198,3.639,0.62,2.3167,10.4899,0.53,0.000674,0.086991,0.4074,0.73,0.34,70.677,91.336,8.884,18.515,4.883,0.636,0.8914,5.11654,0,0.672,723.7,3,1,19.14,26.31,1.35,3.48,33.9,15.7,0.0013402,2567.2986163475944,1,8.907,7.233,1,3.15,1.2699,0.77,1.92e-06,29,31
6,2.406,0.675,0.681,5.9773,0.79,1.314,10.2667,0.21,0.000154,0.10614,0.4359,0.85,0.77,-56.5958,21.945,4.615,12.476,5.954,0.724,0.8923,4.3957,2,0.6346,1359.0,1,0,22.07,23.44,3.18,5.52,43.5,12.3,0.0015113,3551.0754476025677,0,3.807,17.713,0,9.731,0.7793,0.98,1.1e-06,33,17
7,5.758,0.6,0.474,2.6691,0.43,0.7354,6.9344,0.39,0.000601,0.076623,0.9455,0.86,0.24,-19.6147,52.465,7.12,14.025,7.885,0.69,0.6555,4.96353,2,0.5006,727.4,4,2,20.87,24.29,3.52,5.53,44.0,11.2,0.0005138,12826.939130538192,0,1.925,15.518,0,13.316,0.7639,0.88,1.56e-06,46,30
8,4.348,0.522,0.383,6.6204,0.26,2.6243,11.0835,0.4,0.000256,0.130468,0.2663,0.83,0.28,-73.1337,52.098,5.142,7.257,4.864,0.622,0.9501,4.19884,1,0.5675,808.4,1,0,22.73,24.14,4.23,0.12,33.0,13.9,0.0015345,9429.95522406522,0,0.779,15.141,0,12.434,2.889,0.91,1.21e-06,108,22
9,5.578,0.689,0.106,4.0309,0.69,0.646,5.0994,0.45,0.000664,0.125114,0.9562,0.27,0.27,-65.4641,38.388,8.084,12.565,4.624,0.822,0.8432,4.01421,2,0.7778,353.4,0,1,19.74,21.71,5.31,3.33,31.5,16.4,0.0014424,11659.208425746501,1,7.688,9.79,1,10.952,2.5048,0.89,1.79e-06,74,35
10,6.106,0.783,0.376,1.4224,0.31,1.77,7.8434,0.24,0.000478,0.109842,0.4332,0.84,0.41,-57.9966,71.963,8.879,19.544,4.94,0.617,0.8784,5.4688,1,0.6279,1404.3,3,0,20.53,26.27,2.45,3.78,45.1,11.6,0.0002382,3107.6780045175683,1,4.497,6.882,1,13.73,2.9059,0.98,1.25e-06,113,15
11,5.749,0.699,0.836,2.3859,0.3,2.2623,7.377,0.28,0.00055,0.055987,0.1413,0.45,0.52,36.2334,58.979,6.383,7.982,7.551,0.718,0.8217,4.92395,1,0.8157,569.2,3,2,20.56,26.84,0.08,5.65,42.8,11.2,0.0019728,4294.20683356106,1,2.203,13.906,1,8.674,1.9913,0.8,1.06e-06,94,13
12,4.718,0.433,0.651,5.6738,0.49,1.8908,4.9685,0.33,0.000536,0.102171,0.9914,0.22,0.43,-81.5769,50.017,4.172,6.02,5.95,0.675,0.7938,4.9959,2,0.5938,1299.8,1,2,21.44,23.7,3.75,2.3,31.6,12.0,0.0014725,9587.631643506367,1,11.068,16.016,0,8.342,1.2758,0.86,1.7e-06,109,2
13,1.895,0.587,0.468,3.6072,0.34,1.2265,3.6946,0.56,0.000354,0.125416,0.5012,0.57,0.29,28.2495,18.424,7.828,16.158,4.913,0.782,0.9492,3.16486,1,0.5321,1200.7,0,0,23.8,24.25,0.1,0.74,43.0,14.8,0.0010914,2595.1126483500566,0,6.683,14.976,1,2.064,2.6895,0.96,1.5e-06,47,18
