id,elv3_window_u_value,elv3_window_shgc,elv3_window_transmittance,ext_wall_rsi,ground_floor_elevation_3_wwr,slab_on_grade_ffactor,roof_rsi,air_infiltration_rate_ventilation_on,air_infiltration_rate_ventilation_off,single_patron_door_infiltration,backdoor_rsi,roof_solar_absorptance,roof_thermal_absorptance,building_orientation,building_depth,ground_floor_height,large_store_width,small_store_width,ahu_motor_efficiency,ahu_burner_efficiency,cooling_cop,ahu_fan_speeds,ahu_fan_efficiency,ahu_fan_pressure_rise,economizer_type,exhaust_air_heat_recovery,temp_setpoint_heating_occupied,temp_setpoint_cooling_occupied,temp_setpoint_heating_setback,temp_setpoint_cooling_setback,supply_air_temp_heating,supply_air_temp_cooling,outdoor_air_flow_per_area,exterior_lighting_w,exterior_lighting_sch,ground_allowance_lpd,ground_lpd,lighting_occ_sensor,equipment_power_density,hot_water_skin_loss,water_heater_efficiency,hot_water_peak_flow,large_max_occupant_density,small_max_occupant_density
0,1.615,0.557,0.743,4.9038,0.4,1.3077,9.6702,0.34,0.000439,0.145809,0.4995,0.77,0.64,-7.1294,43.127,4.39,19.339,4.232,0.938,0.732,5.30784,0,0.5391,789.2,0,1,22.15,25.35,4.68,2.09,49.2,14.3,0.0018472,6786.065318569088,0,8.988,12.72,0,7.99,2.1584,0.72,1.93e-06,85,8
1,6.464,0.486,0.876,0.6364,0.56,1.4883,7.1968,0.43,0.000321,0.133681,0.1899,0.3,0.88,78.3459,53.967,8.156,10.378,4.551,0.802,0.7234,4.16167,0,0.5439,1052.8,2,1,18.36,26.01,1.1,0.76,33.4,11.0,0.0007426,11371.588519576579,1,7.085,7.519,0,12.015,2.4953,0.96,1.55e-06,82,22
2,1.407,0.391,0.698,0.9787,0.71,2.685,4.0993,0.43,0.000365,0.13444,0.1821,0.42,0.37,-72.2921,42.539,4.218,11.028,4.753,0.753,0.7823,3.21284,2,0.5308,1363.4,1,1,22.62,26.18,0.57,1.25,44.6,10.0,0.0012055,3454.9068550021093,0,7.071,7.702,0,2.353,2.7666,0.81,1.14e-06,28,22
3,2.22,0.648,0.14,6.5183,0.63,2.9279,2.5164,0.28,0.000355,0.11063,0.2947,0.68,0.4,-67.6647,75.727,6.051,7.356,4.309,0.754,0.8775,3.26183,1,0.7585,880.6,0,0,23.4,26.9,5.06,1.59,45.8,10.8,0.0002271,13208.342289918146,1,11.199,15.324,0,12.73,1.0079,0.92,1.21e-06,111,20
4,5.453,0.237,0.363,1.3027,0.53,1.699,11.2001,0.31,0.000557,0.122575,0.1585,0.38,0.23,-35.7686,14.556,3.948,18.688,5.291,0.893,0.6323,3.60238,1,0.5493,607.6,2,0,19.06,23.62,5.71,1.66,36.1,10.5,0.0017778,11610.379833146819,1,6.331,10.645,1,2.621,0.683,0.85,1.88e-06,35,29
5,4.476,0.247,0.748,1.1048,0.5,2.8846,4.4831,0.49,0.000391,0.084896,0.5463,0.78,0.44,87.8513,28.069,6.002,17.281,7.941,0.996,0.943,3.98348,1,0.558,930.7,3,1,20.63,24.18,0.29,2.76,44.3,18.0,0.0012388,11782.03832354888,1,2.107,5.487,1,7.753,1.0542,0.85,1.37e-06,33,32
6,6.327,0.519,0.669,0.3567,0.4,1.7343,11.2493,0.49,0.000655,0.142314,0.4486,0.83,0.34,88.3094,77.466,7.513,17.104,4.342,0.674,0.8472,4.40351,2,0.6894,1366.3,2,0,24.04,24.8,2.79,1.05,41.7,13.1,0.0008836,8749.279669557047,0,0.867,8.94,1,3.704,1.3533,0.98,1.95e-06,46,39
7,5.884,0.676,0.21,1.2105,0.55,1.3645,10.8746,0.29,0.000606,0.148332,0.2071,0.37,0.75,-71.2677,50.493,5.7,9.004,7.684,0.767,0.9031,4.86242,1,0.5591,1386.0,3,0,21.6,22.73,3.35,5.55,48.8,10.9,0.0010523,3351.6923317745664,0,11.716,8.562,0,6.5,1.1074,0.92,1.36e-06,90,25
8,5.035,0.661,0.518,2.1544,0.33,1.4263,3.1274,0.44,0.000337,0.148138,0.7628,0.44,0.53,-13.6144,51.516,2.995,10.935,5.497,0.848,0.772,3.21623,2,0.529,1457.6,4,1,24.72,25.5,2.41,1.58,30.5,13.3,0.0006947,3511.581878156819,1,8.413,12.293,0,2.678,1.1016,0.97,1.73e-06,60,8
9,5.129,0.486,0.549,1.7369,0.47,2.8875,8.826,0.57,0.000133,0.094223,0.4035,0.44,0.87,-39.3515,52.684,9.13,10.524,7.975,0.735,0.79,5.10392,0,0.7454,1257.3,1,1,21.24,23.67,5.32,1.5,41.4,14.0,0.0019493,3276.729076548095,1,1.467,14.39,1,13.168,2.925,0.76,1.63e-06,77,16
